Data,1ª Dose,2ª Dose,3ª Dose,Dose Única
2021-01-17,100,0,0,0
2021-01-18,877,2,0,0
2021-01-19,7452,0,0,0
2021-01-20,14214,1,0,0
2021-01-21,32080,2,0,0
2021-01-22,51621,10,0,0
2021-01-23,16867,6,0,0
2021-01-24,6377,0,0,0
2021-01-25,21305,3,0,0
2021-01-26,44150,4,0,0
2021-01-27,38136,3,0,0
2021-01-28,70858,35,0,0
2021-01-29,55661,7,0,0
2021-01-30,21977,1,0,0
2021-01-31,6006,0,0,0
2021-02-01,56138,48,0,0
2021-02-02,58721,7,0,0
2021-02-03,70532,15,0,0
2021-02-04,80141,23,0,0
2021-02-05,90633,38,0,0
2021-02-06,43667,71,0,0
2021-02-07,14151,26,0,0
2021-02-08,101306,412,0,0
2021-02-09,110489,1015,0,0
2021-02-10,82685,4392,0,0
2021-02-11,94588,32625,0,0
2021-02-12,107350,51135,0,0
2021-02-13,29946,12462,0,0
2021-02-14,7174,9369,0,0
2021-02-15,68488,51981,0,0
2021-02-16,53747,56298,0,0
2021-02-17,51921,53872,0,0
2021-02-18,50250,52905,0,0
2021-02-19,43118,41025,0,0
2021-02-20,16297,7475,0,0
2021-02-21,5984,2163,0,0
2021-02-22,37648,28863,0,0
2021-02-23,33929,26241,0,0
2021-02-24,26814,22667,0,0
2021-02-25,24701,20851,0,0
2021-02-26,22644,32339,0,0
2021-02-27,49705,8552,0,0
2021-02-28,13744,3341,0,0
2021-03-01,112704,28105,0,0
2021-03-02,98991,59467,0,0
2021-03-03,130646,59963,0,0
2021-03-04,106402,59887,0,0
2021-03-05,79169,63210,0,0
2021-03-06,49043,24927,0,0
2021-03-07,11956,4720,0,0
2021-03-08,73847,49812,0,0
2021-03-09,69341,50711,0,0
2021-03-10,59905,47870,0,0
2021-03-11,56556,48156,0,0
2021-03-12,55652,43353,0,0
2021-03-13,29726,11756,0,0
2021-03-14,9399,1801,0,0
2021-03-15,131387,29382,0,0
2021-03-16,82618,25596,0,0
2021-03-17,79720,32518,0,0
2021-03-18,78770,25753,0,0
2021-03-19,193244,18554,0,0
2021-03-20,91244,6551,0,0
2021-03-21,14046,2578,0,0
2021-03-22,139333,19102,0,0
2021-03-23,104666,21505,0,0
2021-03-24,90170,53953,0,0
2021-03-25,125268,40344,0,0
2021-03-26,211675,32072,0,0
2021-03-27,103099,14024,0,0
2021-03-28,16995,5731,0,0
2021-03-29,159858,45866,0,0
2021-03-30,112977,50724,0,0
2021-03-31,84175,59132,0,0
2021-04-01,91072,43424,0,0
2021-04-02,49347,7381,0,0
2021-04-03,42089,15538,0,0
2021-04-04,5691,5491,0,0
2021-04-05,116503,109726,0,0
2021-04-06,124179,99763,0,1
2021-04-07,94509,77967,0,1
2021-04-08,58219,68748,0,0
2021-04-09,43085,167298,0,0
2021-04-10,67680,56566,0,0
2021-04-11,11888,13993,0,0
2021-04-12,145689,127812,0,0
2021-04-13,134310,91661,0,0
2021-04-14,122242,83113,0,0
